,Team Name,Year,Games Played,Minutes,Wins,Loss,Win Percentage,Loss Percentage,Points,Three Pointers,Two Pointers,Second Chance Points,Counter Attack Points,Free Throws,Blocks,Blocked Attempts,Personal Fouls,Flagrant Fouls,Team Technical Fouls,Team Fouls,Total Fouls,Total Rebounds,Rebounds,Assists,Turnovers,Assists Turnover Ratio,Steals
0,Atlanta Hawks,2013,82,21055.0,38,44,46.34,53.66,8282,768,2293,997,1085,1392,326,354,1577,3,0,6,1583,3938,3278,2041,1251,1.63,680
1,Boston Celtics,2013,82,20930.0,25,57,30.49,69.51,7892,575,2421,1209,933,1325,343,373,1743,7,0,1,1744,4172,3485,1726,1261,1.37,584
2,Brooklyn Nets,2013,82,21105.0,44,38,53.66,46.34,8079,709,2222,859,730,1508,311,337,1777,8,2,3,1780,3784,3128,1714,1191,1.44,705
3,Charlotte Hornets,2013,82,22570.0,43,39,52.44,47.56,7942,516,2460,1109,745,1474,421,415,1493,0,2,9,1502,4289,3500,1778,1010,1.76,499
4,Chicago Bulls,2013,82,21130.0,48,34,58.54,41.46,7680,508,2335,1208,716,1486,424,490,1565,3,3,13,1578,4332,3620,1860,1223,1.52,594
5,Cleveland Cavaliers,2013,82,21610.0,33,49,40.24,59.76,8054,584,2452,1182,802,1398,304,461,1640,3,1,4,1644,4349,3618,1738,1163,1.49,579
6,Dallas Mavericks,2013,82,22255.0,49,33,59.76,40.24,8597,721,2528,1084,863,1378,356,288,1636,4,1,8,1644,3891,3354,1935,1110,1.74,704
7,Denver Nuggets,2013,82,21195.0,36,46,43.9,56.1,8559,702,2445,1265,1197,1563,459,459,1890,3,2,6,1896,4487,3726,1838,1305,1.41,615
8,Detroit Pistons,2013,82,21750.0,29,53,35.37,64.63,8286,507,2675,1432,1228,1415,395,403,1666,4,1,7,1673,4498,3721,1714,1193,1.44,687
9,Golden State Warriors,2013,82,20550.0,51,31,62.2,37.8,8549,774,2462,1023,1184,1303,407,342,1784,4,1,2,1786,4345,3715,1912,1247,1.53,642
10,Houston Rockets,2013,82,21270.0,54,28,65.85,34.15,8829,779,2339,1226,1411,1814,461,460,1676,1,1,7,1683,4527,3717,1755,1323,1.33,621
11,Indiana Pacers,2013,82,21940.0,56,26,68.29,31.71,7933,550,2399,1136,669,1485,446,378,1675,3,0,8,1683,4345,3665,1651,1237,1.33,550
12,Los Angeles Clippers,2013,82,20235.0,57,25,69.51,30.49,8850,693,2515,1101,1488,1741,397,284,1767,9,0,6,1773,4307,3526,2016,1136,1.77,703
13,Los Angeles Lakers,2013,82,20665.0,27,55,32.93,67.07,8442,774,2365,944,1161,1390,446,387,1627,4,3,6,1633,4000,3365,2006,1239,1.62,611
14,Memphis Grizzlies,2013,82,20790.0,50,32,60.98,39.02,7884,405,2717,1158,810,1235,375,410,1568,4,3,8,1576,4160,3476,1792,1124,1.59,631
15,Miami Heat,2013,82,22305.0,54,28,65.85,34.15,8380,665,2477,910,964,1431,367,256,1596,5,2,6,1602,3594,3024,1847,1212,1.52,732
16,Milwaukee Bucks,2013,82,20865.0,15,67,18.29,81.71,7829,548,2404,1086,985,1377,403,413,1713,6,2,5,1718,4080,3370,1760,1238,1.42,541
17,Minnesota Timberwolves,2013,82,21130.0,40,42,48.78,51.22,8768,600,2589,1331,1239,1790,297,457,1504,1,0,3,1507,4406,3668,1963,1142,1.72,718
18,New Orleans Pelicans,2013,82,22280.0,34,48,41.46,58.54,8177,486,2615,1309,946,1489,523,504,1857,0,0,1,1858,4039,3419,1745,1129,1.55,647
19,New York Knicks,2013,82,21370.0,37,45,45.12,54.88,8084,759,2268,1142,692,1271,367,277,1815,5,0,4,1819,3942,3307,1641,1063,1.54,631
20,Oklahoma City Thunder,2013,82,21005.0,59,23,71.95,28.05,8705,664,2530,1179,1250,1653,501,296,1858,2,3,8,1866,4303,3668,1794,1256,1.43,678
21,Orlando Magic,2013,82,21975.0,23,59,28.05,71.95,7914,563,2459,1066,829,1307,350,445,1678,4,0,3,1681,4073,3448,1726,1222,1.41,630
22,Philadelphia 76ers,2013,82,21105.0,19,63,23.17,76.83,8155,577,2531,1210,1344,1362,330,558,1844,1,3,11,1855,4252,3505,1791,1384,1.29,765
23,Phoenix Suns,2013,82,21725.0,48,34,58.54,41.46,8629,765,2407,1154,1378,1520,374,332,1798,2,2,8,1806,4182,3529,1563,1258,1.24,688
24,Portland Trail Blazers,2013,82,21320.0,54,28,65.85,34.15,8753,770,2437,1418,828,1569,387,304,1576,3,1,5,1581,4448,3808,1904,1125,1.69,454
25,Sacramento Kings,2013,82,21295.0,28,54,34.15,65.85,8241,491,2535,1366,971,1698,318,459,1849,4,0,6,1855,4379,3646,1547,1249,1.24,587
26,San Antonio Spurs,2013,82,21915.0,62,20,75.61,24.39,8639,698,2628,1065,953,1289,420,379,1495,0,0,10,1505,4077,3548,2064,1180,1.75,604
27,Toronto Raptors,2013,82,20940.0,48,34,58.54,41.46,8305,713,2279,1271,752,1608,343,352,1882,2,1,3,1885,4177,3487,1737,1159,1.5,577
28,Utah Jazz,2013,82,22015.0,25,57,30.49,69.51,7791,543,2408,1239,884,1346,366,401,1699,0,0,1,1700,4032,3381,1664,1200,1.39,570
29,Washington Wizards,2013,82,21305.0,44,38,53.66,46.34,8254,647,2530,1049,1242,1253,377,320,1675,5,1,6,1681,4109,3459,1909,1204,1.59,668
30,Atlanta Hawks,2014,82,19970.0,60,22,73.17,26.83,8409,818,2303,923,1078,1349,380,404,1457,2,0,5,1462,3987,3326,2111,1167,1.81,744
31,Boston Celtics,2014,82,20625.0,40,42,48.78,51.22,8312,660,2533,1201,1078,1266,294,431,1738,6,1,1,1739,4309,3595,2009,1133,1.77,674
32,Brooklyn Nets,2014,82,20890.0,38,44,46.34,53.66,8038,541,2528,1044,736,1359,340,372,1579,2,1,6,1585,4145,3473,1716,1133,1.51,576
33,Charlotte Hornets,2014,82,20385.0,33,49,40.24,59.76,7721,498,2415,1073,733,1397,448,440,1494,2,0,3,1497,4404,3613,1654,976,1.69,499
34,Chicago Bulls,2014,82,21155.0,50,32,60.98,39.02,8265,645,2356,1146,812,1618,476,443,1495,2,1,11,1506,4484,3751,1781,1145,1.56,514
35,Cleveland Cavaliers,2014,82,20260.0,53,29,64.63,35.37,8457,826,2263,1099,892,1453,340,368,1510,5,0,2,1512,4259,3523,1814,1171,1.55,603
36,Dallas Mavericks,2014,82,20650.0,50,32,60.98,39.02,8628,732,2523,1110,1268,1386,371,314,1644,1,2,10,1654,4074,3466,1846,1062,1.74,663
37,Denver Nuggets,2014,82,20600.0,30,52,36.59,63.41,8320,660,2439,1218,1195,1462,367,504,1882,9,1,5,1887,4380,3665,1788,1166,1.53,641
38,Detroit Pistons,2014,82,20070.0,32,50,39.02,60.98,8077,703,2338,1226,1093,1292,383,391,1559,4,0,5,1564,4382,3681,1771,1099,1.61,623
39,Golden State Warriors,2014,82,19970.0,67,15,81.71,18.29,9016,883,2527,1040,1669,1313,496,293,1628,4,1,11,1639,4284,3667,2248,1185,1.9,762
40,Houston Rockets,2014,82,20045.0,56,26,68.29,31.71,8522,933,2099,1139,1514,1525,407,437,1803,4,1,3,1806,4378,3582,1820,1366,1.33,777
41,Indiana Pacers,2014,82,20335.0,38,44,46.34,53.66,7981,612,2386,1142,766,1373,375,386,1742,5,0,11,1753,4377,3678,1757,1147,1.53,505
42,Los Angeles Clippers,2014,82,19970.0,56,26,68.29,31.71,8751,827,2401,1031,1144,1468,409,245,1749,4,2,11,1760,4252,3495,2031,1012,2.01,640
43,Los Angeles Lakers,2014,82,20650.0,21,61,25.61,74.39,8073,532,2522,1173,962,1433,366,396,1741,5,0,1,1742,4286,3599,1715,1086,1.58,578
44,Memphis Grizzlies,2014,82,20410.0,55,27,67.07,32.93,8062,423,2674,1077,931,1445,347,424,1567,2,0,8,1575,4152,3490,1777,1094,1.62,700
45,Miami Heat,2014,82,20210.0,37,45,45.12,54.88,7764,556,2329,1019,768,1438,372,359,1636,3,1,4,1640,3935,3208,1626,1214,1.34,642
46,Milwaukee Bucks,2014,82,20410.0,41,41,50.0,50.0,8023,545,2538,1000,1204,1312,403,392,1814,6,0,3,1817,4056,3450,1932,1373,1.41,789
47,Minnesota Timberwolves,2014,82,20045.0,16,66,19.51,80.49,8016,406,2580,1176,1039,1638,327,449,1571,2,0,9,1580,4075,3355,1771,1231,1.44,668
48,New Orleans Pelicans,2014,82,20020.0,45,37,54.88,45.12,8147,586,2522,1127,862,1345,510,475,1530,1,0,2,1532,4221,3563,1806,1086,1.66,553
49,New York Knicks,2014,82,20095.0,17,65,20.73,79.27,7535,560,2322,1016,677,1211,382,353,1768,5,0,10,1778,3976,3310,1746,1206,1.45,575
50,Oklahoma City Thunder,2014,82,20790.0,45,37,54.88,45.12,8524,632,2552,1318,1318,1524,454,377,1829,6,0,6,1835,4624,3896,1681,1205,1.4,598
51,Orlando Magic,2014,82,20235.0,25,57,30.49,69.51,7847,554,2522,995,906,1141,314,441,1714,3,1,3,1717,4032,3429,1692,1221,1.39,647
52,Philadelphia 76ers,2014,82,20550.0,18,64,21.95,78.05,7542,692,2073,1157,1163,1320,487,454,1778,4,0,5,1783,4294,3514,1683,1453,1.16,789
53,Phoenix Suns,2014,82,20120.0,39,43,47.56,52.44,8397,698,2480,1053,1463,1343,385,337,1744,7,3,8,1752,4187,3539,1659,1238,1.34,700
54,Portland Trail Blazers,2014,82,20095.0,51,31,62.2,37.8,8429,807,2368,1110,819,1272,372,297,1494,4,1,5,1499,4352,3760,1799,1117,1.61,525
55,Sacramento Kings,2014,82,20335.0,29,53,35.37,64.63,8310,461,2549,1181,1201,1829,324,508,1696,3,0,6,1702,4440,3623,1666,1333,1.25,550
