,Player,Team Name,Position,Year,Games Played,Games Started,Field Goals Made,Minutes,Free Throws,Points,Blocks,Blocked Attempts,Personal Fouls,Assists,Turnovers,Assists Turnover Ratio,Steals,Three Pointers,Two Pointers,Rebounds
0,Steve Nash,Los Angeles Lakers,G,2013,15,10,36,313.0,22,102,2,4,18,86,31,2.77,7,8,28,29
1,Ben Gordon,Charlotte Hornets,G,2013,19,0,37,279.0,17,99,2,10,18,21,21,1.0,10,8,29,27
2,Justin Hamilton,Charlotte Hornets,C-F,2013,1,0,0,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0
3,Cody Zeller,Charlotte Hornets,C,2013,82,3,172,1417.0,146,490,41,43,170,92,87,1.06,40,0,172,353
4,Michael Kidd-Gilchrist,Charlotte Hornets,F,2013,62,62,167,1502.0,113,448,39,38,145,52,60,0.87,43,1,166,324
5,Glen Rice Jr.,Washington Wizards,G-F,2013,11,1,11,109.0,5,32,1,1,7,7,9,0.78,6,5,6,20
6,Drew Gooden,Washington Wizards,F,2013,22,0,76,395.0,24,183,7,9,53,15,17,0.88,10,7,69,114
7,Chris Singleton,Washington Wizards,F,2013,25,0,25,250.0,18,75,3,5,25,6,17,0.35,9,7,18,55
8,John Wall,Washington Wizards,G,2013,82,82,579,2980.0,317,1583,40,53,219,721,295,2.44,149,108,471,333
9,Otto Porter Jr.,Washington Wizards,F,2013,37,0,33,319.0,8,78,1,3,26,10,14,0.71,8,4,29,57
10,Trevor Booker,Washington Wizards,F,2013,72,45,222,1553.0,47,491,45,19,131,64,58,1.1,41,0,222,379
11,Martell Webster,Washington Wizards,F-G,2013,78,13,254,2157.0,105,759,15,11,150,97,58,1.67,41,146,108,222
12,Trevor Ariza,Washington Wizards,F,2013,77,77,389,2723.0,149,1107,20,46,179,191,132,1.45,126,180,209,475
13,Al Harrington,Washington Wizards,F,2013,34,0,82,511.0,27,225,0,10,72,28,34,0.82,14,34,48,80
14,Eric Maynor,Washington Wizards,G,2013,23,0,21,215.0,2,52,1,2,13,40,17,2.35,5,8,13,24
15,Andre Miller,Washington Wizards,G,2013,28,0,40,412.0,25,107,2,8,43,97,28,3.46,19,2,38,57
16,Kevin Seraphin,Washington Wizards,F-C,2013,53,1,111,578.0,27,249,26,14,103,17,41,0.41,3,0,111,128
17,Garrett Temple,Washington Wizards,G-F,2013,75,0,51,638.0,30,138,11,7,72,72,42,1.71,35,6,45,68
18,Marcin Gortat,Washington Wizards,C,2013,81,80,455,2655.0,157,1068,121,51,201,138,126,1.1,41,1,454,767
19,Nene,Washington Wizards,C-F,2013,53,37,299,1560.0,155,754,47,31,164,153,117,1.31,64,1,298,294
20,Jan Vesely,Washington Wizards,F,2013,33,1,48,470.0,8,104,19,10,64,10,22,0.45,26,0,48,113
21,Bradley Beal,Washington Wizards,G,2013,73,73,481,2530.0,149,1249,18,40,153,243,128,1.9,71,138,343,273
22,Doron Lamb,Orlando Magic,G,2013,53,0,63,695.0,29,191,1,6,54,43,27,1.59,11,36,27,49
23,Ronnie Price,Orlando Magic,G,2013,31,2,28,377.0,9,74,2,4,50,66,26,2.54,25,9,19,43
24,Adonis Thomas,Orlando Magic,G-F,2013,4,0,3,24.0,1,7,0,1,2,2,0,0.0,0,0,3,3
25,Jason Maxiell,Orlando Magic,F,2013,34,13,47,488.0,15,109,20,7,47,9,14,0.64,8,0,47,86
