,Team Name,Year,Games Played,Minutes,Free Throws,Points,Three Pointers,Second Chance Points,Counter Attack Points,Blocks,Blocked Attempts,Personal Fouls,Flagrant Fouls,Team Technical Fouls,Team Fouls,Total Rebounds,Total Fouls,Assists,Turnovers,Assists Turnover Ratio,Steals,Two Pointers,Rebounds
0,Boston Celtics,2013,82,20930.0,1325,7892,575,1209,933,343,373,1743,7,0,1,4172,1744,1726,1261,1.37,584,2421,3485
1,Los Angeles Clippers,2013,82,20235.0,1741,8850,693,1101,1488,397,284,1767,9,0,6,4307,1773,2016,1136,1.77,703,2515,3526
2,New York Knicks,2013,82,21370.0,1271,8084,759,1142,692,367,277,1815,5,0,4,3942,1819,1641,1063,1.54,631,2268,3307
3,Golden State Warriors,2013,82,20550.0,1303,8549,774,1023,1184,407,342,1784,4,1,2,4345,1786,1912,1247,1.53,642,2462,3715
4,Milwaukee Bucks,2013,82,20865.0,1377,7829,548,1086,985,403,413,1713,6,2,5,4080,1718,1760,1238,1.42,541,2404,3370
5,Phoenix Suns,2013,82,21725.0,1520,8629,765,1154,1378,374,332,1798,2,2,8,4182,1806,1563,1258,1.24,688,2407,3529
6,Chicago Bulls,2013,82,21130.0,1486,7680,508,1208,716,424,490,1565,3,3,13,4332,1578,1860,1223,1.52,594,2335,3620
7,Oklahoma City Thunder,2013,82,21005.0,1653,8705,664,1179,1250,501,296,1858,2,3,8,4303,1866,1794,1256,1.43,678,2530,3668
8,Houston Rockets,2013,82,21270.0,1814,8829,779,1226,1411,461,460,1676,1,1,7,4527,1683,1755,1323,1.33,621,2339,3717
9,Cleveland Cavaliers,2013,82,21610.0,1398,8054,584,1182,802,304,461,1640,3,1,4,4349,1644,1738,1163,1.49,579,2452,3618
10,Los Angeles Lakers,2013,82,20665.0,1390,8442,774,944,1161,446,387,1627,4,3,6,4000,1633,2006,1239,1.62,611,2365,3365
11,Portland Trail Blazers,2013,82,21320.0,1569,8753,770,1418,828,387,304,1576,3,1,5,4448,1581,1904,1125,1.69,454,2437,3808
12,San Antonio Spurs,2013,82,21915.0,1289,8639,698,1065,953,420,379,1495,0,0,10,4077,1505,2064,1180,1.75,604,2628,3548
13,Indiana Pacers,2013,82,21940.0,1485,7933,550,1136,669,446,378,1675,3,0,8,4345,1683,1651,1237,1.33,550,2399,3665
14,Denver Nuggets,2013,82,21195.0,1563,8559,702,1265,1197,459,459,1890,3,2,6,4487,1896,1838,1305,1.41,615,2445,3726
15,Detroit Pistons,2013,82,21750.0,1415,8286,507,1432,1228,395,403,1666,4,1,7,4498,1673,1714,1193,1.44,687,2675,3721
16,Utah Jazz,2013,82,22015.0,1346,7791,543,1239,884,366,401,1699,0,0,1,4032,1700,1664,1200,1.39,570,2408,3381
17,Miami Heat,2013,82,22305.0,1431,8380,665,910,964,367,256,1596,5,2,6,3594,1602,1847,1212,1.52,732,2477,3024
18,Orlando Magic,2013,82,21975.0,1307,7914,563,1066,829,350,445,1678,4,0,3,4073,1681,1726,1222,1.41,630,2459,3448
19,Washington Wizards,2013,82,21305.0,1253,8254,647,1049,1242,377,320,1675,5,1,6,4109,1681,1909,1204,1.59,668,2530,3459
20,Atlanta Hawks,2013,82,21055.0,1392,8282,768,997,1085,326,354,1577,3,0,6,3938,1583,2041,1251,1.63,680,2293,3278
21,Minnesota Timberwolves,2013,82,21130.0,1790,8768,600,1331,1239,297,457,1504,1,0,3,4406,1507,1963,1142,1.72,718,2589,3668
22,Brooklyn Nets,2013,82,21105.0,1508,8079,709,859,730,311,337,1777,8,2,3,3784,1780,1714,1191,1.44,705,2222,3128
23,Charlotte Hornets,2013,82,22570.0,1474,7942,516,1109,745,421,415,1493,0,2,9,4289,1502,1778,1010,1.76,499,2460,3500
24,Philadelphia 76ers,2013,82,21105.0,1362,8155,577,1210,1344,330,558,1844,1,3,11,4252,1855,1791,1384,1.29,765,2531,3505
25,Toronto Raptors,2013,82,20940.0,1608,8305,713,1271,752,343,352,1882,2,1,3,4177,1885,1737,1159,1.5,577,2279,3487
26,Sacramento Kings,2013,82,21295.0,1698,8241,491,1366,971,318,459,1849,4,0,6,4379,1855,1547,1249,1.24,587,2535,3646
27,New Orleans Pelicans,2013,82,22280.0,1489,8177,486,1309,946,523,504,1857,0,0,1,4039,1858,1745,1129,1.55,647,2615,3419
28,Dallas Mavericks,2013,82,22255.0,1378,8597,721,1084,863,356,288,1636,4,1,8,3891,1644,1935,1110,1.74,704,2528,3354
29,Memphis Grizzlies,2013,82,20790.0,1235,7884,405,1158,810,375,410,1568,4,3,8,4160,1576,1792,1124,1.59,631,2717,3476
30,Phoenix Suns,2014,82,20120.0,1343,8397,698,1053,1463,385,337,1744,7,3,8,4187,1752,1659,1238,1.34,700,2480,3539
31,Utah Jazz,2014,82,21145.0,1391,7801,610,1329,907,489,382,1583,3,1,4,4331,1587,1631,1256,1.3,623,2290,3605
32,Charlotte Hornets,2014,82,20385.0,1397,7721,498,1073,733,448,440,1494,2,0,3,4404,1497,1654,976,1.69,499,2415,3613
33,Houston Rockets,2014,82,20045.0,1525,8522,933,1139,1514,407,437,1803,4,1,3,4378,1806,1820,1366,1.33,777,2099,3582
34,New Orleans Pelicans,2014,82,20020.0,1345,8147,586,1127,862,510,475,1530,1,0,2,4221,1532,1806,1086,1.66,553,2522,3563
35,Chicago Bulls,2014,82,21155.0,1618,8265,645,1146,812,476,443,1495,2,1,11,4484,1506,1781,1145,1.56,514,2356,3751
36,Detroit Pistons,2014,82,20070.0,1292,8077,703,1226,1093,383,391,1559,4,0,5,4382,1564,1771,1099,1.61,623,2338,3681
37,Dallas Mavericks,2014,82,20650.0,1386,8628,732,1110,1268,371,314,1644,1,2,10,4074,1654,1846,1062,1.74,663,2523,3466
38,Portland Trail Blazers,2014,82,20095.0,1272,8429,807,1110,819,372,297,1494,4,1,5,4352,1499,1799,1117,1.61,525,2368,3760
39,Memphis Grizzlies,2014,82,20410.0,1445,8062,423,1077,931,347,424,1567,2,0,8,4152,1575,1777,1094,1.62,700,2674,3490
40,San Antonio Spurs,2014,82,20675.0,1368,8461,677,1105,855,444,362,1564,1,0,8,4198,1572,2000,1146,1.75,657,2531,3578
